timestamp,cpu,ram,disk
2026-04-14 16:24:35.899089,59.3,78.2,90.7
2026-04-14 16:24:35.906011,54.5,78.2,90.7
2026-04-14 16:24:35.910290,0.0,78.2,90.7
2026-04-14 16:24:35.914511,0.0,78.2,90.7
2026-04-14 16:24:35.918778,58.3,78.2,90.7
2026-04-14 16:24:35.925144,0.0,78.3,90.7
2026-04-14 16:24:35.928445,0.0,78.3,90.7
2026-04-14 16:24:35.933015,14.3,78.2,90.7
2026-04-14 16:24:35.943744,75.0,78.2,90.7
2026-04-14 16:24:35.947280,0.0,78.2,90.7
2026-04-14 16:24:35.950904,100.0,78.2,90.7
2026-04-14 16:24:35.959578,0.0,78.2,90.7
2026-04-14 16:24:35.964988,50.0,78.2,90.7
2026-04-14 16:24:35.969320,0.0,78.2,90.7
2026-04-14 16:24:35.976362,0.0,78.3,90.7
2026-04-14 16:24:35.979815,0.0,78.3,90.7
2026-04-14 16:24:35.982673,100.0,78.3,90.7
2026-04-14 16:24:35.986992,0.0,78.3,90.7
2026-04-14 16:24:35.991263,0.0,78.3,90.7
2026-04-14 16:24:35.995733,54.5,78.3,90.7
2026-04-14 16:24:35.999533,100.0,78.4,90.7
2026-04-14 16:24:36.006634,0.0,78.4,90.7
2026-04-14 16:24:36.014400,31.8,78.4,90.7
2026-04-14 16:24:36.017645,0.0,78.4,90.7
2026-04-14 16:24:36.021973,0.0,78.4,90.7
2026-04-14 16:24:36.027382,100.0,78.4,90.7
2026-04-14 16:24:36.030761,0.0,78.4,90.7
2026-04-14 16:24:36.034950,0.0,78.4,90.7
2026-04-14 16:24:36.038837,0.0,78.4,90.7
2026-04-14 16:24:36.042428,100.0,78.4,90.7
2026-04-14 16:24:36.046049,100.0,78.4,90.7
2026-04-14 16:24:36.050233,0.0,78.4,90.7
2026-04-14 16:24:36.055353,0.0,78.4,90.7
2026-04-14 16:24:36.059858,100.0,78.4,90.7
2026-04-14 16:24:36.062863,0.0,78.4,90.7
2026-04-14 16:24:36.066262,0.0,78.4,90.7
2026-04-14 16:24:36.071141,0.0,78.4,90.7
2026-04-14 16:24:36.075713,100.0,78.4,90.7
2026-04-14 16:24:36.078560,0.0,78.4,90.7
2026-04-14 16:24:36.081801,0.0,78.4,90.7
2026-04-14 16:24:36.088052,44.4,78.4,90.7
2026-04-14 16:24:36.098624,100.0,78.4,90.7
2026-04-14 16:24:36.110131,41.7,78.4,90.7
2026-04-14 16:24:36.114426,0.0,78.4,90.7
2026-04-14 16:24:36.124496,53.8,78.4,90.7
2026-04-14 16:24:36.132379,0.0,78.4,90.7
2026-04-14 16:24:36.142829,58.3,78.4,90.7
2026-04-14 16:24:36.149655,0.0,78.4,90.7
2026-04-14 16:24:36.156142,61.5,78.4,90.7
2026-04-14 16:24:36.163663,0.0,78.4,90.7
2026-04-14 16:24:36.170296,61.5,78.4,90.7
2026-04-14 16:24:36.175270,0.0,78.4,90.7
2026-04-14 16:24:36.179035,0.0,78.4,90.7
2026-04-14 16:24:36.182584,0.0,78.4,90.7
2026-04-14 16:24:36.186859,64.3,78.4,90.7
2026-04-14 16:24:36.190533,0.0,78.4,90.7
2026-04-14 16:24:36.193987,0.0,78.4,90.7
2026-04-14 16:24:36.196316,0.0,78.4,90.7
2026-04-14 16:24:36.199254,25.0,78.4,90.7
2026-04-14 16:24:36.202452,0.0,78.4,90.7
2026-04-14 16:24:36.206225,0.0,78.4,90.7
2026-04-14 16:24:36.210049,0.0,78.4,90.7
2026-04-14 16:24:36.213367,0.0,78.4,90.7
2026-04-14 16:24:36.216404,50.0,78.4,90.7
2026-04-14 16:24:36.220535,0.0,78.4,90.7
2026-04-14 16:24:36.224405,0.0,78.4,90.7
2026-04-14 16:24:36.228196,0.0,78.4,90.7
2026-04-14 16:24:36.231893,33.3,78.4,90.7
2026-04-14 16:24:36.235781,0.0,78.4,90.7
2026-04-14 16:24:36.239906,0.0,78.4,90.7
2026-04-14 16:24:36.243544,0.0,78.4,90.7
2026-04-14 16:24:36.248408,28.6,78.4,90.7
2026-04-14 16:24:36.253346,0.0,78.4,90.7
2026-04-14 16:24:36.257207,0.0,78.4,90.7
2026-04-14 16:24:36.260608,0.0,78.4,90.7
2026-04-14 16:24:36.263479,61.5,78.4,90.7
2026-04-14 16:24:36.268576,0.0,78.4,90.7
2026-04-14 16:24:36.272736,0.0,78.4,90.7
2026-04-14 16:24:36.276304,0.0,78.4,90.7
2026-04-14 16:24:36.279213,61.5,78.4,90.7
2026-04-14 16:24:36.282168,0.0,78.4,90.7
2026-04-14 16:24:36.285621,0.0,78.4,90.7
2026-04-14 16:24:36.290585,0.0,78.4,90.7
2026-04-14 16:24:36.293462,16.7,78.4,90.7
2026-04-14 16:24:36.296034,0.0,78.4,90.7
2026-04-14 16:24:36.299213,0.0,78.4,90.7
2026-04-14 16:24:36.303534,0.0,78.4,90.7
2026-04-14 16:24:36.307563,0.0,78.4,90.7
2026-04-14 16:24:36.310536,41.7,78.4,90.7
2026-04-14 16:24:36.313809,0.0,78.4,90.7
2026-04-14 16:24:36.317170,0.0,78.4,90.7
2026-04-14 16:24:36.321170,0.0,78.4,90.7
2026-04-14 16:24:36.326642,61.5,78.4,90.7
2026-04-14 16:24:36.329634,0.0,78.4,90.7
2026-04-14 16:24:36.333148,0.0,78.4,90.7
2026-04-14 16:24:36.338725,0.0,78.4,90.7
2026-04-14 16:24:36.342296,100.0,78.4,90.7
2026-04-14 16:24:36.345003,0.0,78.4,90.7
2026-04-14 16:24:36.348192,0.0,78.4,90.7
2026-04-14 16:24:36.350674,0.0,78.4,90.7
2026-04-14 16:24:36.355263,100.0,78.4,90.7
2026-04-14 16:24:36.358521,0.0,78.4,90.7
2026-04-14 16:24:36.361387,0.0,78.4,90.7
2026-04-14 16:24:36.364301,0.0,78.4,90.7
2026-04-14 16:24:36.366981,0.0,78.4,90.7
2026-04-14 16:24:36.371323,42.9,78.4,90.7
2026-04-14 16:24:36.374795,0.0,78.4,90.7
2026-04-14 16:24:36.378314,0.0,78.4,90.7
2026-04-14 16:24:36.380604,0.0,78.4,90.7
2026-04-14 16:24:36.383500,0.0,78.4,90.7
2026-04-14 16:24:36.387980,87.5,78.4,90.7
2026-04-14 16:24:36.391485,0.0,78.4,90.7
2026-04-14 16:24:36.394196,0.0,78.4,90.7
2026-04-14 16:24:36.397306,0.0,78.4,90.7
2026-04-14 16:24:36.402004,100.0,78.4,90.7
2026-04-14 16:24:36.405908,0.0,78.4,90.7
2026-04-14 16:24:36.409374,0.0,78.4,90.7
2026-04-14 16:24:36.412086,0.0,78.4,90.7
2026-04-14 16:24:36.414952,0.0,78.4,90.7
2026-04-14 16:24:36.418680,100.0,78.4,90.7
2026-04-14 16:24:36.422743,0.0,78.4,90.7
2026-04-14 16:24:36.426230,0.0,78.4,90.7
2026-04-14 16:24:36.429646,0.0,78.4,90.7
2026-04-14 16:24:36.432948,0.0,78.4,90.7
2026-04-14 16:24:36.437573,85.7,78.4,90.7
2026-04-14 16:24:36.441251,0.0,78.4,90.7
2026-04-14 16:24:36.444888,0.0,78.4,90.7
2026-04-14 16:24:36.448570,0.0,78.4,90.7
2026-04-14 16:24:36.454385,100.0,78.4,90.7
2026-04-14 16:24:36.458069,0.0,78.4,90.7
2026-04-14 16:24:36.461274,0.0,78.4,90.7
2026-04-14 16:24:36.464156,0.0,78.4,90.7
2026-04-14 16:24:36.467368,85.7,78.4,90.7
2026-04-14 16:24:36.472069,0.0,78.4,90.7
2026-04-14 16:24:36.474654,0.0,78.4,90.7
2026-04-14 16:24:36.478052,0.0,78.4,90.7
2026-04-14 16:24:36.481075,100.0,78.4,90.7
2026-04-14 16:24:36.532492,57.9,78.4,90.7
2026-04-14 16:24:36.536781,0.0,78.4,90.7
2026-04-14 16:24:36.540386,0.0,78.4,90.7
2026-04-14 16:24:36.553302,66.7,78.3,90.7
2026-04-14 16:24:36.556675,0.0,78.3,90.7
2026-04-14 16:24:36.560773,100.0,78.3,90.7
2026-04-14 16:24:36.563956,0.0,78.3,90.7
2026-04-14 16:24:36.566859,0.0,78.3,90.7
2026-04-14 16:24:36.570675,0.0,78.3,90.7
2026-04-14 16:24:36.575764,100.0,78.3,90.7
2026-04-14 16:24:36.579566,0.0,78.3,90.7
2026-04-14 16:24:36.583477,0.0,78.3,90.7
2026-04-14 16:24:36.589385,100.0,78.3,90.7
2026-04-14 16:24:36.593862,100.0,78.3,90.7
2026-04-14 16:24:36.597342,0.0,78.3,90.7
2026-04-14 16:24:36.601588,0.0,78.3,90.7
2026-04-14 16:24:36.604811,0.0,78.3,90.7
2026-04-14 16:24:36.609066,75.0,78.3,90.7
2026-04-14 16:24:36.613097,0.0,78.3,90.7
